"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2020,Margin of Error1,Second         Quarter       2020,Margin of Error1,Third         Quarter       2020,Margin of Error1,Fourth         Quarter       2020,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",0.5,1.4,0.5,1.4,0.5,1.5,(z),(z),,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",0.9,1.9,0.9,1.9,5.3,4.2,4.9,4.0,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",2.0,1.3,1.6,1.1,1.0,1.0,0.7,0.8,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",0.6,1.4,0.5,1.4,0.5,1.4,1.3,2.2,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",1.2,0.8,1.0,0.7,0.3,0.4,0.8,0.7,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",2.9,2.3,2.6,2.1,1.8,1.7,0.9,1.3,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",2.2,1.6,0.2,0.5,0.8,1.0,0.7,0.9,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",2.6,2.0,1.1,1.3,0.4,0.8,2.7,2.1,,,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",2.1,1.8,0.2,0.5,0.6,0.9,0.5,0.8,,,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",0.4,0.5,0.3,0.4,0.2,0.3,0.5,0.5,,,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",1.0,1.6,0.6,1.2,1.3,1.9,(z),(z),,,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",0.7,1.5,0.5,1.1,0.9,1.5,0.3,0.9,,,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",3.0,3.7,2.4,3.2,2.0,3.0,(z),(z),,,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",1.7,2.2,1.3,1.9,2.3,2.5,3.7,3.0,,,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",1.0,1.1,0.4,0.7,1.0,1.1,1.5,1.3,,,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",1.0,0.6,0.8,0.5,1.2,0.6,1.9,0.8,,,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",0.7,1.0,0.8,1.1,0.9,1.2,0.4,0.7,,,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",0.4,0.7,0.3,0.6,0.7,0.9,1.5,1.4,,,,,,,,,,,,
,"Columbia, SC………………………………………….",0.3,0.9,1.0,1.5,0.5,1.1,1.1,1.6,,,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",0.7,1.0,(z),(z),(z),(z),0.4,0.8,,,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",1.0,0.7,0.7,0.6,0.5,0.5,0.7,0.6,,,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",2.6,3.1,3.5,3.6,1.8,2.6,1.0,2.1,,,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",0.6,0.8,0.3,0.6,0.6,0.8,0.6,0.9,,,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",1.2,0.9,0.8,0.7,1.6,1.0,1.3,0.9,,,,,,,,,,,,
,"Fresno, CA………………………………………………",4.4,4.4,1.1,2.3,(z),(z),0.6,1.6,,,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",0.7,1.5,1.0,1.8,1.5,2.0,0.9,1.6,,,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",2.2,2.7,0.6,1.5,(z),(z),(z),(z),,,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",0.5,1.0,0.2,0.6,1.0,1.4,0.7,1.2,,,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",1.4,0.9,1.3,0.8,0.7,0.6,1.1,0.8,,,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",0.6,0.9,0.9,1.1,0.9,1.1,0.9,1.1,,,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",1.6,2.0,2.9,2.3,0.7,1.2,0.7,1.2,,,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",1.3,1.0,0.6,0.7,0.5,0.6,0.6,0.7,,,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",1.0,1.7,0.2,0.7,0.2,0.7,0.7,1.4,,,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",1.3,1.0,1.0,0.9,0.7,0.8,1.3,1.1,,,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",2.1,2.9,0.7,1.6,1.0,1.9,1.7,2.6,,,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",1.1,0.6,0.7,0.5,0.2,0.3,0.6,0.5,,,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",1.7,1.8,(z),(z),2.4,2.0,1.7,1.8,,,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",1.0,1.4,0.7,1.1,1.2,1.5,1.2,1.5,,,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",1.0,0.8,1.3,0.9,1.8,1.0,1.3,0.9,,,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",0.3,0.8,(z),(z),0.9,1.3,1.1,1.6,,,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",0.5,0.6,0.2,0.4,0.7,0.8,0.6,0.7,,,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",0.9,1.1,0.6,0.8,1.0,1.1,0.3,0.6,,,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",0.4,1.2,(z),(z),0.3,0.9,(z),(z),,,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",2.7,1.9,1.3,1.3,(z),(z),1.4,1.3,,,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",1.1,0.5,1.3,0.5,1.2,0.5,1.3,0.5,,,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",2.2,2.9,2.0,2.7,2.3,3.1,1.9,2.6,,,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",1.5,1.4,0.5,0.8,0.8,1.0,1.0,1.1,,,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",0.8,1.0,0.1,0.3,0.1,0.3,0.9,1.0,,,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",2.0,1.8,0.3,0.6,1.5,1.4,0.9,1.1,,,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",0.9,0.7,0.3,0.4,0.8,0.6,0.7,0.6,,,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",0.8,0.7,0.7,0.7,0.6,0.6,0.8,0.7,,,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",1.2,1.2,0.6,0.9,1.0,1.1,1.0,1.1,,,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",1.5,1.1,0.6,0.7,0.6,0.7,0.6,0.7,,,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",0.6,0.5,0.5,0.5,1.0,0.7,1.2,0.8,,,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",(z),(z),(z),(z),0.9,1.3,0.9,1.5,,,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",1.8,2.1,0.5,1.1,0.3,0.9,1.0,1.7,,,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",1.4,1.1,0.7,0.7,(z),(z),1.2,1.0,,,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",0.8,1.4,0.9,1.6,1.7,2.2,0.6,1.2,,,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",1.4,1.5,0.7,1.0,1.3,1.3,0.6,0.9,,,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",0.9,0.9,0.8,0.8,0.5,0.7,0.6,0.8,,,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",0.6,0.9,0.6,0.9,(z),(z),(z),(z),,,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",1.8,1.6,0.9,1.0,0.2,0.5,1.0,1.2,,,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",0.3,0.6,1.1,1.2,1.1,1.1,0.6,0.8,,,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",0.3,0.5,0.1,0.3,0.8,0.8,0.7,0.8,,,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",(z),(z),(z),(z),(z),(z),(z),(z),,,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",0.8,0.8,0.3,0.5,0.8,0.8,0.6,0.7,,,,,,,,,,,,
,"Syracuse, NY………………………………………….",0.9,1.9,(z),(z),(z),(z),(z),(z),,,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",1.2,1.1,1.4,1.2,1.1,1.0,2.2,1.5,,,,,,,,,,,,
**,"Toledo, OH………………………………………………..",0.7,1.9,(z),(z),(z),(z),0.7,2.0,,,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",0.7,1.5,0.5,1.1,0.6,1.3,(z),(z),,,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",0.4,0.8,0.7,1.1,0.6,1.0,1.7,1.9,,,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",0.9,0.9,1.3,1.1,1.0,1.0,0.8,0.9,,,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",1.4,1.8,(z),(z),0.4,0.8,0.7,1.1,,,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",0.7,0.6,0.9,0.7,0.5,0.5,0.8,0.7,,,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",(z),(z),0.3,0.8,0.5,1.1,0.6,1.3,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2019,Margin of Error1,Second         Quarter       2019,Margin of Error1,Third         Quarter       2019,Margin of Error1,Fourth         Quarter       2019,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",0.0,(z),1.3,2.2,1.5,2.5,2.3,2.9,,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",1.6,2.6,4.8,4.6,2.1,2.8,3.8,3.8,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",1.9,1.3,1.4,1.1,1.8,1.3,2.3,1.4,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",1.2,2.1,0.4,1.2,3.3,3.7,0.9,1.9,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",0.9,0.7,1.6,1.0,1.6,1.0,1.2,0.8,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",1.5,1.7,1.6,1.8,0.7,1.2,3.2,2.5,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",1.9,1.5,1.8,1.5,2.8,1.8,2.6,1.7,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",2.7,2.1,1.5,1.5,2.1,1.9,1.1,1.5,,,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",2.3,1.9,1.0,1.2,0.9,1.2,2.0,1.7,,,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",1.0,0.7,0.7,0.6,0.8,0.7,0.7,0.6,,,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",1.3,1.9,1.8,2.3,1.0,1.7,2.9,2.9,,,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",1.4,2.1,1.1,1.7,0.6,1.3,1.8,2.2,,,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",3.6,4.2,2.3,3.5,2.9,3.9,0.5,1.6,,,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",1.5,2.1,3.4,3.2,3.0,3.0,1.1,1.7,,,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",1.1,1.2,1.8,1.5,1.8,1.5,2.5,1.8,,,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",1.6,0.7,1.2,0.6,1.5,0.7,1.7,0.8,,,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",0.8,1.1,0.7,1.1,0.9,1.2,1.9,1.7,,,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",0.7,1.0,0.5,0.8,2.4,1.7,0.7,1.0,,,,,,,,,,,,
,"Columbia, SC………………………………………….",3.1,2.9,0.6,1.3,2.1,2.4,0.3,0.9,,,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",0.2,0.5,1.3,1.4,1.5,1.5,0.3,0.7,,,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",1.3,0.8,1.6,0.9,1.6,0.9,1.6,0.9,,,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",5.2,4.5,2.5,3.3,0.6,1.6,0.5,1.5,,,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",0.4,0.7,0.5,0.8,0.9,1.0,2.0,1.5,,,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",1.3,0.9,1.9,1.1,1.3,0.9,1.0,0.8,,,,,,,,,,,,
,"Fresno, CA………………………………………………",1.4,2.8,2.1,3.4,1.8,3.0,0.5,1.4,,,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",0.0,(z),0.0,0.0,0.6,1.3,1.2,1.8,,,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",0.0,(z),0.0,0.0,1.7,2.4,1.1,2.0,,,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",0.0,(z),1.6,1.8,1.6,1.8,0.0,0.0,,,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",1.9,1.0,2.0,1.1,2.5,1.2,1.3,0.9,,,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",2.7,1.9,1.2,1.3,1.1,1.2,1.0,1.2,,,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",0.7,1.3,1.9,2.0,0.2,0.6,1.2,1.6,,,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",0.9,0.9,0.9,0.8,1.4,1.0,2.3,1.3,,,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",1.1,1.6,0.5,1.1,2.9,2.8,1.0,1.6,,,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",2.5,1.4,2.3,1.4,1.0,0.9,2.2,1.4,,,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",1.7,2.7,1.0,2.0,1.5,2.4,2.4,3.1,,,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",1.3,0.7,1.1,0.7,1.1,0.6,1.1,0.6,,,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",0.0,(z),1.7,1.8,0.6,1.0,0.5,1.0,,,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",1.4,1.7,2.6,2.3,1.0,1.4,0.5,1.0,,,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",2.6,1.3,1.7,1.1,1.3,0.9,1.7,1.0,,,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",0.6,1.2,0.3,0.8,0.5,1.0,1.0,1.4,,,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",0.7,0.8,0.8,0.8,0.1,0.3,0.2,0.4,,,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",0.6,0.9,1.1,1.2,1.9,1.5,1.1,1.2,,,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",0.4,1.2,1.9,2.5,2.8,2.7,0.4,1.1,,,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",2.2,1.7,1.7,1.5,1.2,1.3,1.9,1.6,,,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",1.5,0.6,1.5,0.6,1.6,0.6,1.0,0.5,,,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",3.2,3.3,5.4,4.7,4.0,4.3,3.4,3.7,,,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",3.1,2.0,2.3,1.8,3.4,2.2,2.1,1.7,,,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",0.4,0.7,0.6,0.9,0.8,0.9,0.7,0.9,,,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",3.5,2.5,3.3,2.4,1.3,1.5,1.9,1.7,,,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",1.5,1.0,1.1,0.8,1.5,0.9,1.1,0.8,,,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",0.6,0.7,0.8,0.7,1.4,1.0,1.0,0.8,,,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",1.0,1.1,0.8,1.0,1.4,1.3,1.7,1.4,,,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",1.0,0.9,0.9,0.9,0.6,0.7,0.9,0.9,,,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",1.2,0.8,0.6,0.5,0.5,0.5,1.4,0.9,,,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",0.3,0.9,1.7,2.1,1.2,1.6,0.0,0.0,,,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",1.2,1.8,0.5,1.1,1.4,1.8,2.1,2.3,,,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",2.0,1.3,1.4,1.1,1.8,1.2,1.5,1.1,,,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",0.9,1.6,0.7,1.5,1.0,1.7,0.9,1.5,,,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",1.2,1.4,0.9,1.1,0.7,1.0,0.5,0.9,,,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",0.5,0.7,0.3,0.6,1.8,1.3,2.2,1.5,,,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",0.6,0.9,0.8,1.1,1.0,1.1,0.9,1.1,,,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",3.0,2.1,1.3,1.4,1.7,1.6,2.0,1.6,,,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",0.8,1.0,0.5,0.8,1.4,1.3,0.4,0.7,,,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",0.7,0.8,1.4,1.1,0.8,0.8,0.7,0.8,,,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",0.8,1.4,0.0,0.0,0.8,1.3,0.3,0.8,,,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",0.4,0.6,0.7,0.8,1.2,1.0,1.6,1.1,,,,,,,,,,,,
,"Syracuse, NY………………………………………….",0.0,(z),1.5,2.6,1.4,2.9,2.5,3.3,,,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",1.6,1.3,2.6,1.6,1.1,1.1,1.1,1.1,,,,,,,,,,,,
**,"Toledo, OH………………………………………………..",2.3,3.3,0.6,1.8,0.0,(z),0.0,0.0,,,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",1.7,2.3,1.6,2.2,1.8,2.5,0.7,1.6,,,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",3.0,2.2,0.7,1.1,1.0,1.3,1.6,1.7,,,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",2.8,1.6,1.8,1.3,1.5,1.2,1.2,1.0,,,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",2.2,2.1,2.6,2.4,3.0,2.5,0.9,1.3,,,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",1.2,0.8,1.4,0.9,0.9,0.7,0.8,0.7,,,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",0.3,0.9,0.0,0.0,1.1,1.6,1.0,1.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2018,Margin of Error1,Second         Quarter       2018,Margin of Error1,Third         Quarter       2018,Margin of Error1,Fourth         Quarter       2018,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",0.5,1.4,0.0,(z),0.0,(z),0.0,(z),,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",1.8,2.8,0.4,1.3,2.0,2.6,2.5,3.3,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",1.9,1.3,1.7,1.2,2.0,1.4,1.4,1.1,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",0.0,(z),0.0,(z),1.8,2.5,1.7,2.6,,,,,,,,,,,,
