"Table with row headings in Column B and column headings are in rows 4-7, 89-92, 174-177, 259-262, 344-347. Leading dots indicate sub-parts.",,,,,,,,,,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",1.2,0.8,0.9,0.8,0.7,0.7,1.6,1.0,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",1.8,1.9,1.4,1.7,0.5,1.0,1.1,1.4,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",1.3,1.3,0.9,1.1,2.4,1.8,1.8,1.5,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",0.9,1.2,1.5,1.6,1.7,1.7,1.4,1.6,,,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",1.8,1.8,1.8,1.6,1.7,1.6,1.9,1.8,,,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",0.3,0.4,1.3,0.8,1.0,0.7,1.2,0.8,,,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",2.0,2.5,2.7,2.9,1.3,2.0,0.4,1.1,,,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",2.3,2.6,1.8,2.2,2.0,2.3,2.1,2.4,,,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",2.2,3.1,2.6,3.5,3.0,3.8,4.2,4.5,,,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",2.6,2.7,3.8,3.3,4.0,3.6,3.3,3.2,,,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",2.2,1.8,1.5,1.4,2.3,1.7,1.0,1.1,,,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",1.7,0.8,1.6,0.7,1.6,0.7,1.7,0.8,,,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",1.9,1.7,1.5,1.5,1.7,1.6,1.1,1.3,,,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",1.0,1.2,0.6,0.9,0.5,0.8,1.6,1.5,,,,,,,,,,,,
,"Columbia, SC………………………………………….",1.4,1.9,1.9,2.2,1.4,1.9,3.1,2.8,,,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",2.2,1.9,0.8,1.2,1.3,1.5,1.6,1.5,,,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",0.8,0.6,0.9,0.7,1.8,1.0,2.2,1.1,,,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",1.4,2.4,1.7,2.6,0.4,1.2,0.6,1.7,,,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",0.6,0.9,0.7,0.9,1.1,1.1,1.0,1.1,,,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",1.5,1.1,0.9,0.8,0.8,0.7,0.9,0.8,,,,,,,,,,,,
,"Fresno, CA………………………………………………",2.2,3.2,1.1,2.2,1.7,2.8,0.0,(z),,,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",0.7,1.4,0.3,0.9,0.0,(z),0.4,1.2,,,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",2.4,2.7,1.5,2.2,0.0,(z),0.0,(z),,,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",1.2,1.6,2.2,2.0,3.4,2.6,0.8,1.3,,,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",1.0,0.8,1.3,0.9,3.0,1.3,2.7,1.2,,,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",2.1,1.7,1.0,1.2,1.9,1.7,1.2,1.3,,,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",1.9,2.1,0.9,1.5,1.9,2.1,0.4,0.9,,,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",0.9,0.9,1.1,0.9,1.4,1.0,1.3,1.0,,,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",0.8,1.4,1.6,2.0,2.2,2.5,1.7,2.3,,,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",1.2,1.0,0.3,0.5,1.1,1.0,1.1,1.0,,,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",2.9,3.5,1.8,2.8,1.2,2.3,1.5,2.5,,,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",0.6,0.5,1.4,0.7,1.3,0.7,1.4,0.7,,,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",1.7,1.8,1.9,1.9,1.9,1.9,0.0,(z),,,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",2.8,2.4,1.1,1.5,0.7,1.2,1.8,1.9,,,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",1.9,1.1,1.6,1.0,1.3,0.9,2.7,1.3,,,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",0.5,1.1,1.1,1.6,1.9,1.9,1.8,1.9,,,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",0.2,0.4,0.6,0.7,0.3,0.5,0.6,0.7,,,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",1.8,1.5,0.3,0.6,0.9,1.1,0.0,(z),,,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",0.7,1.5,0.7,1.4,2.5,2.6,1.4,2.1,,,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",2.3,1.7,2.1,1.7,1.3,1.3,1.0,1.1,,,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",1.5,0.6,1.8,0.6,1.5,0.6,1.7,0.6,,,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",2.8,3.6,4.1,4.4,1.6,2.9,0.0,(z),,,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",1.8,1.6,2.2,1.7,1.6,1.5,5.0,2.6,,,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",0.5,0.8,0.7,0.9,0.6,0.8,0.9,1.0,,,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",3.6,2.5,1.9,1.8,2.6,2.1,2.3,2.0,,,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",0.6,0.6,1.4,0.9,1.3,0.9,1.3,0.9,,,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",2.4,1.3,1.8,1.1,1.2,0.9,0.4,0.5,,,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",1.6,1.4,3.4,2.0,2.3,1.7,1.6,1.4,,,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",1.5,1.2,1.9,1.3,1.0,0.9,1.2,1.0,,,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",0.7,0.6,1.2,0.8,0.9,0.7,1.4,0.9,,,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",1.2,1.6,1.0,1.5,0.6,1.2,0.8,1.4,,,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",2.5,2.6,1.8,2.2,2.9,2.7,1.1,1.7,,,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",1.0,1.0,1.3,1.1,2.4,1.4,1.5,1.2,,,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",1.3,2.0,2.8,3.0,2.5,2.7,1.3,1.9,,,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",2.8,2.1,0.9,1.2,1.6,1.5,0.7,1.0,,,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",0.8,0.9,1.1,1.1,0.9,1.0,0.7,0.9,,,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",1.0,1.1,0.8,1.0,0.2,0.5,0.1,0.3,,,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",1.0,1.3,0.8,1.1,0.3,0.7,0.5,0.8,,,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",0.7,0.9,0.5,0.8,0.6,0.8,1.0,1.1,,,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",0.5,0.7,1.7,1.2,1.1,1.0,0.3,0.5,,,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",0.3,0.8,0.6,1.2,0.8,1.3,0.3,0.9,,,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",0.1,0.3,1.0,0.9,0.6,0.7,1.4,1.1,,,,,,,,,,,,
,"Syracuse, NY………………………………………….",2.1,3.2,1.0,2.1,1.0,2.2,0.0,(z),,,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",1.8,1.4,2.4,1.6,2.7,1.7,1.5,1.2,,,,,,,,,,,,
**,"Toledo, OH………………………………………………..",5.0,5.6,0.0,(z),5.4,5.4,3.0,3.8,,,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",1.5,2.1,2.6,2.8,1.0,1.8,2.1,2.4,,,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",3.1,2.4,2.2,2.1,3.0,2.2,2.0,1.9,,,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",1.0,1.0,1.2,1.1,1.3,1.1,2.1,1.4,,,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",1.5,1.8,1.5,1.8,1.3,1.7,0.7,1.2,,,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",0.5,0.5,1.1,0.8,1.2,0.9,1.6,1.0,,,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",0.0,(z),0.9,1.5,0.9,1.5,1.1,1.7,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2017,Margin of Error1,Second         Quarter       2017,Margin of Error1,Third         Quarter       2017,Margin of Error1,Fourth         Quarter       2017,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",1.0,2.2,0.0,(z),0.0,(z),1.1,2.2,,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",2.2,2.8,1.6,2.4,1.8,2.7,2.9,3.3,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",1.5,1.2,2.2,1.4,2.6,1.5,2.1,1.4,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",2.5,3.2,1.1,2.1,1.6,2.4,1.6,2.5,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",0.6,0.6,0.9,0.8,1.2,0.9,1.3,0.9,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",2.8,2.3,1.1,1.5,1.9,2.0,2.2,2.1,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",3.7,2.0,1.3,1.2,2.2,1.7,2.6,1.8,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",1.4,1.7,1.4,1.6,1.0,1.4,0.2,0.6,,,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",3.3,2.3,2.5,1.9,0.9,1.2,1.5,1.5,,,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",0.3,0.4,0.5,0.5,1.0,0.8,0.8,0.7,,,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",0.3,0.9,0.3,0.9,1.8,2.2,1.6,2.2,,,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",1.8,2.3,1.3,2.1,4.0,3.1,5.7,4.0,,,,,,,,,,,,
,"Cape Coral-Fort Myers, FL...................................................................................",5.1,5.0,2.2,3.4,2.4,3.8,1.6,2.9,,,,,,,,,,,,
,"Charleston-North Charleston-Summerville, SC....................................................................................................",1.1,1.7,1.7,2.4,1.4,2.5,2.2,2.7,,,,,,,,,,,,
**,"Charlotte-Concord-Gastonia, NC-SC5...................................................................................",1.2,1.3,0.0,(z),1.0,1.2,0.8,1.1,,,,,,,,,,,,
*,"Chicago-Naperville-Elgin, IL-IN-WI6....................................................................................................",2.6,0.9,1.4,0.7,1.7,0.8,1.6,0.7,,,,,,,,,,,,
**,"Cincinnati, OH-KY-IN7............................................................................................",1.8,1.7,1.4,1.4,2.5,1.9,1.9,1.7,,,,,,,,,,,,
*,"Cleveland-Elyria, OH8..............................................................................................",1.2,1.4,1.3,1.4,1.7,1.5,0.8,1.1,,,,,,,,,,,,
,"Columbia, SC………………………………………….",2.7,2.6,1.9,2.1,2.5,2.6,2.6,2.7,,,,,,,,,,,,
**,"Columbus, OH............................................................................................................................................",0.2,0.6,1.4,1.7,1.5,1.7,1.4,1.6,,,,,,,,,,,,
**,"Dallas-Ft. Worth-Arlington, TX...........................................................................................................",0.7,0.6,0.6,0.6,0.8,0.7,1.2,0.8,,,,,,,,,,,,
**,"Dayton, OH...........................................................................................................................................................",4.3,4.2,5.2,4.4,2.7,3.3,2.2,3.3,,,,,,,,,,,,
*,"Denver-Aurora-Lakewood, CO9...............................................................................................................................",1.0,1.1,0.6,0.9,1.2,1.2,0.3,0.6,,,,,,,,,,,,
*,"Detroit-Warren-Dearborn, MI10....................................................................................................................",0.3,0.5,0.4,0.5,0.4,0.5,0.4,0.5,,,,,,,,,,,,
,"Fresno, CA………………………………………………",2.0,2.9,0.6,1.7,0.6,1.8,1.1,2.3,,,,,,,,,,,,
**,"Grand Rapids-Wyoming, MI....................................................................................................................................",1.6,2.2,0.6,1.4,2.0,2.5,0.3,0.9,,,,,,,,,,,,
,"Greensboro-High Point, NC............................................................................................................................",2.0,2.6,1.9,2.4,0.5,1.3,0.0,(z),,,,,,,,,,,,
,"Hartford-West Hartford-East Hartford, CT................................................................................",2.0,2.1,2.4,2.2,1.1,1.5,0.2,0.7,,,,,,,,,,,,
**,"Houston-The Woodlands-Sugar Land, TX11....................................................................................................",1.2,0.9,1.3,0.9,2.2,1.1,1.3,0.9,,,,,,,,,,,,
**,"Indianapolis-Carmel-Anderson, IN12.............................................................................................................................................",0.8,1.1,1.7,1.5,1.4,1.5,2.0,1.7,,,,,,,,,,,,
,"Jacksonville, FL..........................................................................................................................................",1.8,1.9,2.0,2.1,1.3,1.8,1.0,1.5,,,,,,,,,,,,
**,"Kansas City, MO-KS.............................................................................................................................................",0.5,0.7,0.9,0.9,1.1,0.9,0.8,0.8,,,,,,,,,,,,
,"Knoxville, TN.............................................................................................................................................",0.0,(z),0.6,1.3,0.6,1.3,1.0,1.7,,,,,,,,,,,,
*,"Las Vegas-Henderson-Paradise, NV13..................................................................................................................",2.5,1.5,2.6,1.5,2.4,1.5,2.0,1.4,,,,,,,,,,,,
,"Little Rock-North Little Rock-Conway, AR..................................................................................................................",1.6,2.6,1.1,2.2,2.7,3.6,2.5,3.3,,,,,,,,,,,,
*,"Los Angeles-Long Beach-Anaheim, CA14...............................................................................................................",0.9,0.6,1.2,0.7,0.7,0.5,0.9,0.6,,,,,,,,,,,,
**,"Louisville/Jefferson County, KY-IN15..............................................................................................................................................................",1.1,1.4,1.6,1.7,0.0,(z),0.0,(z),,,,,,,,,,,,
**,"Memphis, TN-AR-MS.............................................................................................................................................",2.4,2.1,0.9,1.4,1.1,1.5,0.9,1.4,,,,,,,,,,,,
*,"Miami-Fort Lauderdale-West Palm Beach, FL16....................................................................................................................",1.5,1.0,2.5,1.3,1.9,1.1,1.6,1.1,,,,,,,,,,,,
,"Milwaukee-Waukesha-West Allis, WI........................................................................................................................................",1.8,2.0,1.3,1.7,0.5,1.0,0.5,1.0,,,,,,,,,,,,
**,"Minneapolis-St. Paul-Bloomington, MN-WI ...........................................................................................................................",1.2,1.0,1.4,1.1,0.4,0.6,0.5,0.7,,,,,,,,,,,,
**,"Nashville-Davidson-Murfreesboro-Franklin, TN17............................................................................................................................",1.1,1.2,0.4,0.7,0.3,0.6,0.6,0.9,,,,,,,,,,,,
,"New Haven-Milford, CT..............................................................................................................................................................",2.0,2.5,1.4,2.1,1.6,2.4,3.8,3.8,,,,,,,,,,,,
**,"New Orleans-Metairie, LA.18....................................................................................................................................",1.9,1.5,2.9,1.9,3.1,2.1,2.1,1.6,,,,,,,,,,,,
**,"New York-Newark-Jersey City, NY-NJ-PA19.......................................................................................................",1.7,0.6,1.9,0.7,1.9,0.7,2.1,0.7,,,,,,,,,,,,
,"North Port-Bradenton-Sarasota, FL.......................................................................................................",1.2,2.2,1.9,3.0,2.7,3.5,4.2,4.3,,,,,,,,,,,,
,"Oklahoma City, OK.............................................................................................................................................................................",1.5,1.5,1.8,1.5,2.0,1.7,2.3,1.8,,,,,,,,,,,,
,"Omaha-Council Bluffs, NE-IA........................................................................................................................................................",1.0,1.1,1.0,1.2,1.0,1.1,0.8,1.0,,,,,,,,,,,,
*,"Orlando-Kissimmee-Sanford, FL20............................................................................................................................................................................................",0.7,1.1,1.2,1.4,2.4,2.0,1.4,1.5,,,,,,,,,,,,
,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD21 .....................................................................................................................................",1.6,0.9,1.7,1.0,1.5,0.9,1.6,1.0,,,,,,,,,,,,
,"Phoenix-Mesa-Scottsdale, AZ.......................................................................................................................................",1.8,1.2,1.1,0.9,2.0,1.2,1.0,0.8,,,,,,,,,,,,
,"Pittsburgh, PA.....................................................................................................................................................................................................",0.7,1.0,2.0,1.6,3.1,1.9,2.9,1.9,,,,,,,,,,,,
,"Portland-Vancouver-Hillsboro, OR-WA22......................................................................................................................................",1.6,1.2,1.0,0.9,1.1,1.0,0.9,0.9,,,,,,,,,,,,
*,"Providence-Warwick, RI-MA23.........................................................................................................................",0.8,0.7,1.5,0.9,1.2,0.8,1.1,0.8,,,,,,,,,,,,
*,"Raleigh, NC24............................................................................................................................................................................",2.6,2.7,2.1,2.4,2.2,2.3,0.2,0.7,,,,,,,,,,,,
**,"Richmond, VA.........................................................................................................................................................................",1.6,2.2,1.3,1.9,0.3,1.0,1.6,2.1,,,,,,,,,,,,
*,"Riverside-San Bernardino-Ontario, CA..................................................................................................................................",1.3,1.1,2.9,1.7,1.4,1.2,0.9,0.9,,,,,,,,,,,,
**,"Rochester, NY...........................................................................................................................................................................................",0.7,1.5,1.3,2.0,2.9,2.9,3.1,3.1,,,,,,,,,,,,
,"Sacramento-Roseville-Arden-Arcade, CA25........................................................................................................................",1.0,1.3,0.5,0.9,0.8,1.1,1.7,1.6,,,,,,,,,,,,
**,"St. Louis, MO-IL..................................................................................................................................................................................",1.7,1.4,1.4,1.2,1.1,1.1,1.6,1.3,,,,,,,,,,,,
**,"Salt Lake City, UT....................................................................................................................................................................",0.5,0.8,0.9,1.1,0.7,1.0,0.3,0.6,,,,,,,,,,,,
*,"San Antonio-New Braunfels, TX26...........................................................................................................................................................................",2.9,2.3,2.2,1.9,1.9,1.7,0.5,0.9,,,,,,,,,,,,
*,"San Diego-Carlsbad, CA27.................................................................................................................................",0.5,0.8,0.7,0.9,0.1,0.4,1.0,1.1,,,,,,,,,,,,
*,"San Francisco-Oakland-Hayward, CA28....................................................................................................................................",0.6,0.7,0.8,0.8,0.6,0.7,0.7,0.8,,,,,,,,,,,,
,"San Jose-Sunnyvale-Santa Clara, CA...................................................................................................................................",0.6,1.3,0.5,1.1,1.4,1.8,0.3,0.8,,,,,,,,,,,,
*,"Seattle-Tacoma-Bellevue, WA........................................................................................................................................................",0.5,0.7,0.2,0.4,0.5,0.7,0.8,0.8,,,,,,,,,,,,
,"Syracuse, NY………………………………………….",2.0,3.4,2.1,3.2,2.2,3.0,1.0,2.2,,,,,,,,,,,,
,"Tampa-St. Petersburg-Clearwater, FL..............................................................................................................................................",2.2,1.6,2.3,1.6,2.5,1.7,2.7,1.7,,,,,,,,,,,,
**,"Toledo, OH………………………………………………..",1.3,2.8,0.7,2.2,2.7,4.0,0.6,1.8,,,,,,,,,,,,
,"Tucson, AZ ..........................................................................................................................................................................................................",1.3,2.0,1.0,1.8,0.7,1.5,1.5,2.1,,,,,,,,,,,,
,"Tulsa, OK....................................................................................................................................................................................................",3.1,2.4,2.3,2.1,0.9,1.2,1.6,1.7,,,,,,,,,,,,
,"Urban Honolulu, HI29..................................................................................................................................",0.6,0.8,1.2,1.1,0.9,1.0,1.0,1.0,,,,,,,,,,,,
**,"Virginia Beach-Norfolk-Newport News, VA-NC30...............................................................................................................................",3.4,2.7,2.3,2.2,1.9,2.0,2.3,2.2,,,,,,,,,,,,
**,"Washington-Arlington-Alexandria, DC-VA-MD-WV..........................................................................................",1.5,1.0,1.4,0.9,1.4,0.9,0.5,0.6,,,,,,,,,,,,
**,"Worcester, MA.........................................................................................................................................................................................",1.9,2.2,1.9,2.4,2.6,2.6,1.6,2.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Table 5. Homeowner Vacancy Rates for the 75 Largest Metropolitan Statistical Areas: 2015 to 2020 - Continued,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Metropolitan Statistical Area,First         Quarter       2016,Margin of Error2,Second         Quarter       2016,Margin of Error1,Third         Quarter       2016,Margin of Error1,Fourth         Quarter       2016,Margin of Error1,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,"Akron, OH ................................................................................................................",0.0,(z),0.4,1.3,1.2,2.2,0.5,1.6,,,,,,,,,,,,
,"Albany-Schenectady-Troy, NY .....................................................................",3.1,3.0,2.6,3.4,0.4,1.4,2.2,2.9,,,,,,,,,,,,
,"Albuquerque, NM...................................................................................................",1.9,1.3,1.9,1.4,2.4,1.6,1.5,1.3,,,,,,,,,,,,
,"Allentown-Bethlehem-Easton, PA-NJ..................................................................",0.4,1.1,0.4,1.3,2.0,2.9,1.8,2.9,,,,,,,,,,,,
**,"Atlanta-Sandy Springs-Roswell, GA1....................................................",1.6,0.9,1.6,1.1,1.8,1.1,1.5,1.0,,,,,,,,,,,,
,"Austin-Round Rock, TX.....................................................................................................",0.6,0.9,0.7,1.2,1.0,1.5,1.7,1.9,,,,,,,,,,,,
*,"Baltimore-Columbia-Towson, MD2.....................................................................................................",1.7,1.3,1.1,1.2,2.8,1.9,5.4,2.6,,,,,,,,,,,,
,"Baton Rouge, LA……………………………………….",1.7,2.4,0.8,1.3,1.4,1.6,2.0,2.1,,,,,,,,,,,,
,"Birmingham-Hoover, AL......................................................................................................",2.3,2.3,2.6,2.1,1.6,1.7,1.9,1.9,,,,,,,,,,,,
*,"Boston-Cambridge-Newton, MA-NH3...................................................................................",1.1,0.8,0.8,0.7,1.4,0.9,0.4,0.5,,,,,,,,,,,,
,"Bridgeport-Stamford-Norwalk, CT.....................................................................",1.9,2.1,2.3,2.8,3.2,3.3,1.8,2.4,,,,,,,,,,,,
*,"Buffalo-Cheektowaga-Niagara Falls, NY4...............................................................................",1.3,1.7,0.0,(z),0.8,1.5,2.6,2.8,,,,,,,,,,,,
